id,cnt,season,holliday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
399,4151,1,0,5,1,1,0.313333,0.309346,0.526667,0.178496
590,6544,3,0,0,0,1,0.700833,0.644579,0.530417,0.122512
80,2077,2,0,1,1,2,0.430435,0.409735,0.737391,0.288783
144,4492,2,0,2,1,2,0.66,0.604813,0.740833,0.207092
398,3761,1,0,4,1,2,0.399167,0.398971,0.672917,0.187187
366,2294,1,0,0,0,1,0.37,0.375621,0.6925,0.192167
60,1851,1,0,2,1,1,0.266667,0.263879,0.535,0.216425
718,5557,4,0,2,1,1,0.410833,0.409708,0.66625,0.221404
170,4744,2,0,0,0,2,0.699167,0.645846,0.666667,0.102
134,3409,2,0,6,0,2,0.520833,0.500629,0.9225,0.13495
8,959,1,0,6,0,2,0.165,0.162254,0.535833,0.266804
409,3422,1,0,1,1,1,0.2225,0.227913,0.41125,0.167283
490,6296,2,0,5,1,1,0.6275,0.590917,0.735417,0.162938
172,4835,3,0,2,1,2,0.680833,0.637646,0.770417,0.171025
58,2402,1,0,0,0,1,0.343478,0.351109,0.68,0.125248
546,5463,3,0,5,1,1,0.834167,0.786613,0.48875,0.165417
469,6398,2,0,5,1,1,0.4425,0.431808,0.408333,0.155471
395,3624,1,0,1,1,1,0.269167,0.262625,0.400833,0.215792
699,5323,4,0,4,1,1,0.28087,0.298422,0.555652,0.115522
125,4433,2,0,4,1,1,0.459167,0.441917,0.444167,0.295392
145,4978,2,0,3,1,1,0.660833,0.615542,0.69625,0.154233
262,4539,3,0,1,1,2,0.549167,0.529675,0.69,0.151742
41,1538,1,0,4,1,1,0.144348,0.149548,0.437391,0.221935
7,1510,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726
435,4118,1,0,6,0,1,0.2875,0.277767,0.350417,0.22575
276,3570,4,0,1,1,2,0.384167,0.392046,0.760833,0.0833458
376,2177,1,0,3,1,2,0.274167,0.282821,0.8475,0.131221
550,6660,3,0,2,1,1,0.780833,0.70265,0.492083,0.126237
34,1550,1,0,4,1,1,0.186957,0.177878,0.437826,0.277752
439,6312,1,0,3,1,1,0.5725,0.548617,0.507083,0.115062
724,920,1,0,1,1,2,0.231304,0.2589,0.791304,0.0772304
289,5041,4,0,0,0,1,0.511667,0.503154,0.486667,0.281717
460,6436,2,0,3,1,1,0.541667,0.53345,0.469583,0.180975
303,3331,4,0,0,0,1,0.319167,0.321329,0.62375,0.176617
414,4318,1,0,6,0,1,0.346667,0.355425,0.534583,0.190929
293,4195,4,0,4,1,1,0.475833,0.466525,0.63625,0.422275
545,6879,3,0,4,1,1,0.749167,0.675512,0.4225,0.17165
575,6685,3,0,6,0,1,0.755833,0.697604,0.613333,0.15735
589,6299,3,0,6,0,2,0.6925,0.638267,0.732917,0.206479
177,5305,3,0,0,0,1,0.68,0.637629,0.513333,0.0945333
566,6591,3,0,4,1,1,0.77,0.714642,0.600417,0.165429
368,2236,1,0,2,1,1,0.15,0.126275,0.44125,0.365671
412,3005,1,0,4,1,2,0.316667,0.330162,0.752917,0.091425
349,3709,4,0,4,1,2,0.4225,0.412237,0.634167,0.268042
296,4381,4,0,0,0,1,0.421667,0.422333,0.74125,0.0995125
164,5020,2,0,1,1,1,0.635,0.601654,0.494583,0.30535
196,5538,3,0,5,1,1,0.663333,0.624371,0.59125,0.182833
98,1471,2,0,5,1,2,0.335833,0.324479,0.83625,0.226992
338,3485,4,0,0,0,1,0.330833,0.3491,0.775833,0.0839583
422,3389,1,0,0,0,1,0.279167,0.268308,0.41,0.205229
314,2933,4,0,4,1,2,0.38,0.373721,0.813333,0.189067
140,4917,2,0,5,1,1,0.536667,0.529042,0.719583,0.125013
117,3872,2,0,3,1,2,0.62,0.575142,0.835417,0.3122
615,6203,3,0,4,1,2,0.696667,0.655329,0.810417,0.142421
380,2311,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258
126,4608,2,0,5,1,1,0.479167,0.474117,0.59,0.228246
90,1685,2,0,4,1,3,0.268333,0.257575,0.918333,0.217646
453,5698,2,0,3,1,1,0.484167,0.47095,0.48125,0.291671
283,5117,4,1,1,0,1,0.570833,0.542925,0.73375,0.0423042
103,2162,2,0,3,1,2,0.4125,0.417283,0.819167,0.250617
247,4940,3,0,0,0,1,0.709167,0.665429,0.742083,0.206467
557,6290,3,0,2,1,2,0.720833,0.664796,0.6675,0.151737
4,1562,1,0,2,1,1,0.2,0.212122,0.590435,0.160296
254,5046,3,0,0,0,1,0.653333,0.609229,0.71375,0.115054
142,4660,2,0,0,0,1,0.604167,0.5745,0.749583,0.148008
381,2298,1,1,1,0,1,0.19,0.190663,0.5225,0.231358
514,6043,2,1,1,0,1,0.7125,0.6793,0.67625,0.196521
325,2765,4,0,1,1,3,0.4475,0.445062,0.91,0.138054
464,5169,2,0,0,0,1,0.5,0.492425,0.275833,0.232596
428,4066,1,0,6,0,2,0.414167,0.413492,0.62125,0.161079
13,1406,1,0,4,1,1,0.165,0.150883,0.470417,0.301
10,1321,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267
346,3310,4,0,1,1,1,0.238333,0.270196,0.670833,0.06345
143,4274,2,0,1,1,2,0.631667,0.590296,0.81,0.233842
253,5345,3,0,6,0,1,0.66,0.607962,0.75375,0.153608
23,986,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466
9,822,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195
86,1693,2,0,0,0,2,0.253043,0.250339,0.493913,0.1843
716,3786,4,0,0,0,2,0.3625,0.369938,0.83875,0.100742
686,5698,4,0,5,1,1,0.345,0.347204,0.524583,0.171025
363,2423,1,0,4,1,1,0.248333,0.263892,0.574167,0.119412
562,6031,3,0,0,0,1,0.745833,0.705196,0.717917,0.166667
369,2368,1,0,3,1,2,0.1075,0.119337,0.414583,0.1847
567,5870,3,0,5,1,2,0.665833,0.613025,0.844167,0.208967
603,6053,3,0,6,0,2,0.661667,0.618696,0.712917,0.244408
612,6034,3,1,1,0,1,0.7075,0.661629,0.790833,0.151121
18,683,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775
437,5298,1,0,1,1,1,0.466667,0.459592,0.489167,0.207713
397,4579,1,0,3,1,1,0.469167,0.466538,0.507917,0.189067
268,5010,4,0,0,0,2,0.634167,0.572637,0.845,0.0503792
53,1450,1,0,2,1,1,0.182222,0.186033,0.577778,0.195683
121,3351,2,0,0,0,2,0.451667,0.448204,0.762083,0.106354
411,4169,1,0,3,1,1,0.348333,0.351629,0.53125,0.1816
